DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
240704498,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1230,07,Wilshire,0762,1,310,BURGLARY,0342 0216 0344 1609,0,M,X,504,OTHER RESIDENCE,,,IC,Invest Cont,310,,,,1600 S  POINT VIEW                   ST,,34.0483,-118.371
241704633,01/13/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1850,17,Devonshire,1764,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,22,F,H,713,CONVENTION CENTER,,,IC,Invest Cont,341,,,,9300    TAMPA                        AV,,34.244,-118.5583
240605121,01/14/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1800,06,Hollywood,0643,1,330,BURGLARY FROM VEHICLE,1300 1307 0344 1822,32,M,W,101,STREET,,,IC,Invest Cont,330,,,,1600 N  VISTA                        ST,,34.0998,-118.3519
240700515,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,2130,07,Wilshire,0776,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1100 0430 0421 0329 0906 1402 1419 1407 1300,29,M,H,504,OTHER RESIDENCE,511,VERBAL THREAT,AA,Adult Arrest,930,998,,,4500    SATURN                       ST,,34.0425,-118.3362
240204771,01/16/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1600,02,Rampart,0249,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1501,54,M,W,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,956,,,,300 S  BEAUDRY                      AV,,34.0562,-118.257
240200527,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1310,02,Rampart,0201,1,310,BURGLARY,1822 1601 0344 0352 1402,69,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,998,,,700 N  ALEXANDRIA                   AV,,34.0836,-118.2978
240704505,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,2130,07,Wilshire,0724,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),1402 0325 2004,0,X,X,415,THE GROVE,,,AA,Adult Arrest,343,998,,,100    THE GROVE                    DR,,34.0736,-118.3563
240204617,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1400,02,Rampart,0249,1,121,"RAPE, FORCIBLE",1202 1415 1409 0527 1822,61,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,998,,,BEAUDRY                      AV,5TH                          ST,34.0535,-118.2594
240704507,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1900,07,Wilshire,0765,1,210,ROBBERY,0444 1822 0216 0344 0305 1309,73,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,1300 S  HIGHLAND                     AV,,34.0496,-118.3429
240900519,01/13/2024 12:00:00 AM,01/12/2024 12:00:00 AM,2000,09,Van Nuys,0964,1,210,ROBBERY,0344 0352 0945 1822 1414 1402,28,M,O,404,DEPARTMENT STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,998,,,14000    RIVERSIDE                    DR,,34.1576,-118.4387
240604588,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1430,06,Hollywood,0663,2,624,BATTERY - SIMPLE ASSAULT,1822 0400 0416,22,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1100 N  MCCADDEN                     PL,,34.0907,-118.3374
240604587,01/13/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1800,06,Hollywood,0666,1,310,BURGLARY,1822 0344,0,X,X,729,SPECIALTY SCHOOL/OTHER,,,IC,Invest Cont,310,,,,1200 N  CAHUENGA                     BL,,34.0925,-118.3288
240605598,01/31/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1130,06,Hollywood,0629,2,354,THEFT OF IDENTITY,1501,37,M,W,504,OTHER RESIDENCE,,,IC,Invest Cont,354,,,,1900 N  VAN NESS                     AV,,34.1053,-118.3159
240204665,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1230,02,Rampart,0212,2,900,VIOLATION OF COURT ORDER,1822 2004 2038,46,M,W,752,FIRE STATION,,,IC,Invest Cont,900,,,,300 N  VIRGIL                       AV,,34.0768,-118.2868
240704593,01/15/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1700,07,Wilshire,0701,1,310,BURGLARY,0358 0344,44,F,A,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,700    LA CIENEGA                   BL,,34.0839,-118.3765
240604603,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,0230,06,Hollywood,0668,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400 0416 1813 0448,30,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,1200 N  ST ANDREWS                   PL,,34.0928,-118.3109
240705587,02/07/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1900,07,Wilshire,0701,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,8400    MELROSE                      PL,,34.0835,-118.3734
240204611,01/13/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1700,02,Rampart,0257,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,500    UNION                        DR,,34.0587,-118.2678
241704550,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,0945,17,Devonshire,1737,2,888,TRESPASSING,0329 1501,0,M,X,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,888,,,,10700    GOTHIC                       AV,,34.2647,-118.4892
240704611,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1900,07,Wilshire,0753,1,330,BURGLARY FROM VEHICLE,1609,36,F,W,101,STREET,,,IC,Invest Cont,330,,,,1000 S  ORANGE GROVE                 AV,,34.0578,-118.3628
240704510,01/13/2024 12:00:00 AM,01/12/2024 12:00:00 AM,2000,07,Wilshire,0713,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,400 N  OGDEN                        DR,,34.0782,-118.3594
241707646,03/25/2024 12:00:00 AM,01/12/2024 12:00:00 AM,2050,17,Devonshire,1715,2,354,THEFT OF IDENTITY,1822 1202 0930,61,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,12100    BELLANDO                     CT,,34.2937,-118.5258
240904681,01/19/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1100,09,Van Nuys,0935,2,900,VIOLATION OF COURT ORDER,2038,46,F,O,123,PARKING UNDERGROUND/BUILDING,,,AO,Adult Other,900,,,,6100    SYLMAR                       AV,,34.1817,-118.4465
240904389,01/13/2024 12:00:00 AM,01/12/2024 12:00:00 AM,2020,09,Van Nuys,0909,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,7200    WOODMAN                      AV,,34.2012,-118.4312
240904404,01/13/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1700,09,Van Nuys,0911,1,310,BURGLARY,0358 0344 1414 0329 1601,40,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,6800    FIRMAMENT                    AV,,34.1939,-118.4729
240604700,01/15/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1600,06,Hollywood,0647,1,310,BURGLARY,1822 1607 0329 0344,56,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,1600 N  GOWER                        ST,,34.0998,-118.3223
240604640,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1810,06,Hollywood,0669,2,624,BATTERY - SIMPLE ASSAULT,0913 0400 0416,28,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,5400    VIRGINIA                     AV,,34.0919,-118.3077
240704515,01/13/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1800,07,Wilshire,0711,2,624,BATTERY - SIMPLE ASSAULT,0416 0446 1822 1202,91,F,W,510,NURSING/CONVALESCENT/RETIREMENT HOME,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,300 N  HAYWORTH                     AV,,34.0761,-118.3626
240604599,01/15/2024 12:00:00 AM,01/12/2024 12:00:00 AM,2200,06,Hollywood,0644,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,FULLER,FOUNTAIN,34.0944,-118.3495
240204776,01/16/2024 12:00:00 AM,01/12/2024 12:00:00 AM,0900,02,Rampart,0216,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,CORONADO                     ST,KENT                         ST,34.0767,-118.2707
240905233,02/03/2024 12:00:00 AM,01/12/2024 12:00:00 AM,2100,09,Van Nuys,0935,1,480,BIKE - STOLEN,0344 1822,53,M,W,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,480,,,,6200    SYLMAR                       AV,,34.1837,-118.4465
241704548,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1100,17,Devonshire,1762,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0216 1609 0329,0,X,X,244,TOBACCO SHOP,,,AA,Adult Arrest,740,,,,9800    DE SOTO                      AV,,34.2484,-118.5886
240604595,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1000,06,Hollywood,0635,2,888,TRESPASSING,2004 1501,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,888,,,,1900    WHITLEY                      AV,,34.1052,-118.3333
240204593,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1134,02,Rampart,0205,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0104 0344 0385 1822,0,M,W,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,600 N  DILLON                       ST,,34.0786,-118.2788
240204608,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1308,02,Rampart,0291,1,761,BRANDISH WEAPON,2003 2004 1822 0334,25,M,H,210,RESTAURANT/FAST FOOD,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,761,,,,2100 W  PICO                         BL,,34.0473,-118.2827
241704700,01/17/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1000,17,Devonshire,1795,1,330,BURGLARY FROM VEHICLE,1609 0344,42,M,H,104,DRIVEWAY,,,IC,Invest Cont,330,,,,8500    BALBOA                       BL,,34.2248,-118.5151
240704720,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1610,07,Wilshire,0737,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1822,0,X,X,202,LIQUOR STORE,,,IC,Invest Cont,442,,,,5200    WILSHIRE                     BL,,34.0622,-118.3429
240704491,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1805,07,Wilshire,0724,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344,44,F,H,415,THE GROVE,,,IC,Invest Cont,440,,,,100    THE GROVE                    DR,,34.0736,-118.3563
241704703,01/17/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1500,17,Devonshire,1701,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,0,X,X,118,CONSTRUCTION SITE,,,IC,Invest Cont,341,,,,11200    CORBIN                       AV,,34.2749,-118.5621
240604767,01/14/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1400,06,Hollywood,0626,2,888,TRESPASSING,1822 1501,51,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,888,,,,2500    RINCONIA                     DR,,34.1146,-118.3254
241704534,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1700,17,Devonshire,1767,2,624,BATTERY - SIMPLE ASSAULT,0216 2021 1300 0444 1822 0356,51,F,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,9400    RESEDA                       BL,,34.2409,-118.5361
240204607,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,2245,02,Rampart,0235,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0906 1309 1310 0334 0302 1822,33,F,H,101,STREET,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,230,,,,200 N  LAKE                         ST,,34.0684,-118.2705
240600541,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,2350,06,Hollywood,0615,2,753,DISCHARGE FIREARMS/SHOTS FIRED,1822 1100 1402,0,X,X,101,STREET,102,HAND GUN,IC,Invest Cont,753,998,,,3200    CANYON LAKE                  DR,,34.1276,-118.327
241704530,01/13/2024 12:00:00 AM,01/12/2024 12:00:00 AM,0915,17,Devonshire,1721,1,310,BURGLARY,1300 0202 0216 1606 0344,55,M,W,507,CONDOMINIUM/TOWNHOUSE,,,IC,Invest Cont,310,,,,10100    LARWIN                       AV,,34.2543,-118.617
241704532,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1145,17,Devonshire,1764,2,624,BATTERY - SIMPLE ASSAULT,1822 0416,30,M,O,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,9300    TAMPA                        AV,,34.244,-118.5583
240604674,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,0538,06,Hollywood,0668,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300 1822 0216 0311,20,F,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,1300 N  WESTERN                      AV,,34.0944,-118.3125
241704635,01/13/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1040,17,Devonshire,1735,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1606 0344,40,M,H,104,DRIVEWAY,,,IC,Invest Cont,331,,,,17800    LUDLOW                       ST,,34.2709,-118.5215
241705089,01/26/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1630,17,Devonshire,1761,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1602,54,M,X,108,PARKING LOT,,,IC,Invest Cont,341,,,,21500    GLEDHILL                     ST,,34.2414,-118.5987
240704500,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,0930,07,Wilshire,0711,2,624,BATTERY - SIMPLE ASSAULT,1202 0444,61,M,X,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,8300    BEVERLY                      BL,,34.0782,-118.3695
241705013,01/25/2024 12:00:00 AM,01/12/2024 12:00:00 AM,0930,17,Devonshire,1781,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,740,,,,20700    DEARBORN                     ST,,34.2372,-118.5842
240204628,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,2210,02,Rampart,0256,2,624,BATTERY - SIMPLE ASSAULT,0342 1309 0416 0446 1822,34,M,H,109,PARK/PLAYGROUND,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,7TH                          ST,BONNIE BRAE                  ST,34.0555,-118.2746
240704477,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,0740,07,Wilshire,0721,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,400 S  HOLT                         AV,,34.0721,-118.3785
240904447,01/15/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1650,09,Van Nuys,0916,1,310,BURGLARY,0344 1609 0321 0358 0352 1420 1414,38,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,6900    COLBATH                      AV,,34.1959,-118.4367
240904401,01/13/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1426,09,Van Nuys,0904,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 2004,22,M,O,404,DEPARTMENT STORE,,,AA,Adult Arrest,442,,,,14900    RAYMER                       ST,,34.2131,-118.4584
240604638,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1810,06,Hollywood,0669,2,624,BATTERY - SIMPLE ASSAULT,0913 0400 0416,29,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,5400    VIRGINIA                     AV,,34.0919,-118.3077
241705823,02/13/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1730,17,Devonshire,1727,2,662,"BUNCO, GRAND THEFT",0800 0701,30,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,662,,,,19000    TULSA                        ST,,34.2677,-118.5479
240204602,01/13/2024 12:00:00 AM,01/12/2024 12:00:00 AM,2230,02,Rampart,0204,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,3600    MARATHON                     ST,,34.0833,-118.2814
240904417,01/14/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1200,09,Van Nuys,0952,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,15100    WEDDINGTON                   ST,,34.1673,-118.4618
241704512,01/13/2024 12:00:00 AM,01/12/2024 12:00:00 AM,2330,17,Devonshire,1703,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,19200    CASTLEBAY                    LN,,34.2939,-118.552
240604569,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1120,06,Hollywood,0668,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0913 0344,58,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,341,,,,5600 W  SUNSET                       BL,,34.0981,-118.3113
240604592,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1950,06,Hollywood,0648,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2004 0334 0443,81,M,O,108,PARKING LOT,511,VERBAL THREAT,AA,Adult Arrest,930,,,,5700    HOLLYWOOD                    BL,,34.1017,-118.3136
240204592,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,0815,02,Rampart,0205,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0104 0344 0385 1822,0,M,W,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,600 N  DILLON                       ST,,34.0786,-118.2788
241704488,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,0900,17,Devonshire,1791,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0202 0216 0334 1407 0302 1822,46,M,H,108,PARKING LOT,102,HAND GUN,IC,Invest Cont,230,998,,,20100    ROSCOE                       BL,,34.2244,-118.5804
240704606,01/15/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1500,07,Wilshire,0734,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,42,F,H,710,OTHER PREMISE,,,IC,Invest Cont,745,,,,400 S  BURNSIDE                     AV,,34.0672,-118.3518
240904396,01/13/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1430,09,Van Nuys,0937,1,310,BURGLARY,0321 0358 1420 0352 1414 0344 1609,40,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,6100    COLBATH                      AV,,34.1821,-118.4367
240204627,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1515,02,Rampart,0257,2,624,BATTERY - SIMPLE ASSAULT,0416 0447 1822,33,M,H,701,HOSPITAL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1200    WILSHIRE                     BL,,34.053,-118.2649
241704560,01/14/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1400,17,Devonshire,1756,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,10000    WHITE OAK                    AV,,34.2522,-118.5198
240704616,01/16/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1200,07,Wilshire,0732,1,510,VEHICLE - STOLEN,,0,,,504,OTHER RESIDENCE,,,IC,Invest Cont,510,,,,600 S  LA JOLLA                     AV,,34.0656,-118.368
240204996,01/21/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1200,02,Rampart,0212,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0446 2000 1814 0416,54,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,500 N  VIRGIL                       AV,,34.0797,-118.2868
241704671,01/16/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1300,17,Devonshire,1757,2,664,"BUNCO, PETTY THEFT",0701 1900 1822,44,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,664,,,,10100    GERALD                       AV,,34.2538,-118.4948
240604551,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,0001,06,Hollywood,0645,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1700 N  SYCAMORE                     AV,,34.1015,-118.3434
240200525,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,2240,02,Rampart,0235,2,753,DISCHARGE FIREARMS/SHOTS FIRED,0450 0342 1822 0906 1100 1407,0,M,W,101,STREET,104,SHOTGUN,IC,Invest Cont,753,998,,,200 N  LAKE                         ST,,34.0684,-118.2705
241704706,01/17/2024 12:00:00 AM,01/12/2024 12:00:00 AM,0330,17,Devonshire,1715,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385,62,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,331,,,,17600    MAYERLING                    ST,,34.2832,-118.5165
240704532,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1505,07,Wilshire,0749,1,310,BURGLARY,1822 0358 0344,53,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,800 S  LUCERNE                      BL,,34.0603,-118.3249
240605980,02/10/2024 12:00:00 AM,01/12/2024 12:00:00 AM,0740,06,Hollywood,0669,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 1300,71,M,W,102,SIDEWALK,,,IC,Invest Cont,331,,,,5300    LA MIRADA                    AV,,34.0939,-118.3047
240604572,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1150,06,Hollywood,0668,2,625,OTHER ASSAULT,1822 0400 0416 0356,59,M,W,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,625,,,,5600 W  SUNSET                       BL,,34.0981,-118.3113
240904390,01/13/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1640,09,Van Nuys,0941,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 0352 2004,28,F,H,404,DEPARTMENT STORE,,,AA,Adult Arrest,442,,,,5700 N  SEPULVEDA                    BL,,34.174,-118.4661
240204630,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,0120,02,Rampart,0249,2,624,BATTERY - SIMPLE ASSAULT,1822 0447,34,F,B,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,1100 W  7TH                          ST,,34.0542,-118.2611
240605105,01/13/2024 12:00:00 AM,01/12/2024 12:00:00 AM,2100,06,Hollywood,0645,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1300 1822 0344,31,M,W,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,331,,,,6800    HOLLYWOOD                    BL,,34.1016,-118.3387
240905140,02/01/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1200,09,Van Nuys,0963,2,649,DOCUMENT FORGERY / STOLEN FELONY,1822 0923,57,F,W,732,POST OFFICE,,,IC,Invest Cont,649,,,,14900    MAGNOLIA                     BL,,34.1649,-118.4578
240904499,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1310,09,Van Nuys,0909,1,330,BURGLARY FROM VEHICLE,0344 1822,23,F,O,504,OTHER RESIDENCE,,,IC,Invest Cont,330,,,,13900    VALERIO                      ST,,34.2048,-118.4356
240604641,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1810,06,Hollywood,0669,2,624,BATTERY - SIMPLE ASSAULT,0913 0400 0416,37,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,5400    VIRGINIA                     AV,,34.0919,-118.3077
240904455,01/15/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1435,09,Van Nuys,0904,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,0,X,X,404,DEPARTMENT STORE,,,JO,Juv Other,442,,,,14900    RAYMER                       ST,,34.2131,-118.4584
240605259,01/24/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1256,06,Hollywood,0676,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344 0349 0394 0352,35,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341,,,,700 N  EL CENTRO                    AV,,34.0835,-118.3245
240904400,01/13/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1200,09,Van Nuys,0989,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0444 2000,65,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,4400    VENTURA CANYON               AV,,34.1504,-118.4296
240204637,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,0800,02,Rampart,0247,1,310,BURGLARY,1822 1601 0329 0344,42,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,500 S  BONNIE BRAE                  ST,,34.0594,-118.2719
240204626,01/12/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1515,02,Rampart,0257,2,624,BATTERY - SIMPLE ASSAULT,0416 0447 1822 1202,60,M,H,701,HOSPITAL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1200    WILSHIRE                     BL,,34.053,-118.2649
